author_id,doc_id,chunks (1500)
67,1717,4959
67,133,4959
78,596,4959
55,109,4959
26,1873,4959
15,2018,4902
45,1855,4902
6,1220,4902
59,1163,4902
55,782,4902
18,1041,4902
120,1773,4902
23,399,4902
67,1176,4902
19,1952,4902
62,585,4845
26,224,4845
53,1689,4845
21,1186,4845
59,768,4845
90,225,4845
18,1154,4845
18,1192,4845
26,2119,4845
21,2296,4845
23,1994,4845
75,849,4845
45,401,4845
29,517,4845
18,471,4845
24,564,4845
64,1075,4788
18,61,4788
23,1174,4788
24,79,4788
20,604,4788
18,304,4788
59,613,4788
8,780,4788
37,48,4788
105,1981,4788
7,631,4731
26,1759,4731
70,136,4731
23,2327,4731
23,1782,4731
55,105,4731
13,1847,4731
45,846,4731
67,145,4731
23,2292,4674
31,120,4674
49,1897,4674
23,1564,4674
18,373,4674
61,1963,4674
43,345,4674
19,1745,4674
43,403,4674
23,1843,4674
37,823,4674
6,1966,4674
56,745,4674
71,1410,4674
23,764,4674
18,910,4674
18,1272,4617
23,1226,4617
22,236,4617
86,1199,4617
21,2241,4617
43,2068,4617
88,1203,4617
55,1234,4617
51,1677,4617
5,2036,4617
23,1215,4617
23,250,4617
23,2309,4560
3,187,4560
21,2381,4560
34,2257,4560
69,1459,4560
18,306,4560
5,2320,4560
100,343,4560
59,1311,4560
55,1259,4560
26,1454,4560
31,259,4560
19,1475,4560
1,1129,4560
23,1268,4560
5,1839,4560
8,991,4560
65,1820,4560
5,538,4503
43,2338,4503
25,1665,4503
22,1098,4503
4,672,4503
37,2200,4503
45,1152,4503
5,2047,4503
4,1073,4503
39,1738,4503
26,2028,4503
26,2044,4503
2,543,4503
21,1274,4503
26,1370,4503
26,1283,4503
23,1517,4503
24,2000,4503
58,248,4446
21,1141,4446
2,2031,4446
31,738,4446
4,4,4446
61,855,4446
5,2204,4446
18,1123,4446
52,1696,4446
43,1792,4446
59,863,4446
121,1928,4446
22,1368,4446
55,376,4446
7,1516,4446
55,1094,4446
5,992,4446
31,1592,4389
5,505,4389
58,582,4389
37,2061,4389
5,944,4389
5,1379,4389
59,331,4389
5,5,4389
44,162,4389
59,909,4389
95,305,4389
5,2342,4389
103,2317,4389
106,2039,4389
29,2144,4389
75,1637,4389
2,783,4389
75,711,4389
68,2359,4389
55,1258,4389
53,872,4389
1,2254,4389
29,1683,4332
5,847,4332
55,534,4332
59,101,4332
11,1118,4332
37,1326,4332
44,2002,4332
5,568,4332
92,808,4332
28,1235,4332
31,819,4332
5,299,4332
5,1401,4332
51,87,4332
55,327,4275
5,2099,4275
83,689,4275
95,2274,4275
55,298,4275
26,245,4275
24,476,4275
75,997,4275
106,2055,4275
24,2358,4275
55,1140,4275
23,2109,4275
5,1538,4275
9,851,4275
55,723,4275
5,238,4275
5,426,4275
5,1120,4275
18,419,4275
29,1575,4275
75,144,4275
22,1515,4275
18,20,4275
5,454,4218
46,2306,4218
30,1407,4218
19,2230,4218
59,2115,4218
15,912,4218
8,494,4218
5,2210,4218
4,1767,4218
37,361,4218
5,1764,4218
5,1757,4218
21,500,4218
5,1571,4218
43,1206,4218
43,1166,4218
15,492,4218
7,747,4218
55,524,4161
61,282,4161
19,1080,4161
51,447,4161
55,93,4161
20,1479,4161
5,560,4161
71,722,4161
59,1681,4161
2,1406,4161
106,556,4161
43,1088,4161
2,1657,4161
13,2185,4104
29,32,4104
31,726,4104
20,1339,4104
27,1581,4104
37,2146,4104
89,337,4104
5,713,4104
5,1331,4104
5,1702,4104
5,1706,4104
5,2023,4104
83,1848,4104
5,2053,4104
26,946,4104
7,1639,4104
28,525,4104
55,592,4104
23,317,4104
65,1187,4104
28,790,4104
13,1984,4104
5,393,4047
28,2279,4047
56,749,4047
5,520,4047
2,1587,4047
15,512,4047
55,1190,4047
57,1728,4047
21,1565,4047
70,1878,4047
55,1229,4047
23,496,4047
23,518,4047
93,1419,3990
2,2051,3990
37,2026,3990
2,2,3990
61,1185,3990
23,959,3990
18,65,3990
91,2276,3990
5,1506,3990
5,66,3990
81,167,3990
46,838,3990
18,686,3933
101,1576,3933
3,204,3933
30,340,3933
59,1453,3933
5,256,3933
21,2313,3933
43,226,3933
8,1624,3933
45,2356,3933
12,1146,3933
6,2246,3933
44,2337,3933
16,571,3933
2,1680,3876
62,132,3876
15,16,3876
98,2038,3876
41,850,3876
24,2244,3876
5,410,3876
61,654,3876
61,1345,3876
26,1482,3876
24,1128,3876
59,807,3876
15,1978,3876
66,1655,3876
4,2126,3876
49,1542,3819
23,232,3819
6,619,3819
44,1228,3819
83,2081,3819
44,231,3819
41,1625,3819
23,1589,3819
105,785,3819
28,1577,3762
31,1658,3762
12,12,3762
35,530,3762
91,452,3762
37,705,3762
81,714,3762
40,1462,3762
26,1980,3762
